match_id,minute,value
25-26-champions-league-arsenal-vs-club-brugge,75,-47
25-26-champions-league-arsenal-vs-club-brugge,76,-26
25-26-champions-league-arsenal-vs-club-brugge,77,-10
25-26-champions-league-arsenal-vs-club-brugge,78,8
25-26-champions-league-arsenal-vs-club-brugge,79,52
25-26-champions-league-arsenal-vs-club-brugge,80,41
25-26-champions-league-arsenal-vs-club-brugge,81,40
25-26-champions-league-arsenal-vs-club-brugge,82,16
25-26-champions-league-arsenal-vs-club-brugge,83,7
25-26-champions-league-arsenal-vs-club-brugge,84,15
25-26-champions-league-arsenal-vs-club-brugge,85,4
25-26-champions-league-arsenal-vs-club-brugge,86,7
25-26-champions-league-arsenal-vs-club-brugge,87,34
25-26-champions-league-arsenal-vs-club-brugge,88,-31
25-26-champions-league-arsenal-vs-club-brugge,89,-12
25-26-champions-league-arsenal-vs-club-brugge,90,-13
25-26-champions-league-arsenal-vs-club-brugge,90.5,85
25-26-champions-league-chelsea-vs-atalanta,1,5
25-26-champions-league-chelsea-vs-atalanta,2,2
25-26-champions-league-chelsea-vs-atalanta,3,-5
25-26-champions-league-chelsea-vs-atalanta,4,-6
25-26-champions-league-chelsea-vs-atalanta,5,-8
25-26-champions-league-chelsea-vs-atalanta,6,-21
25-26-champions-league-chelsea-vs-atalanta,7,-32
25-26-champions-league-chelsea-vs-atalanta,8,-20
25-26-champions-league-chelsea-vs-atalanta,9,-12
25-26-champions-league-chelsea-vs-atalanta,10,15
25-26-champions-league-chelsea-vs-atalanta,11,6
25-26-champions-league-chelsea-vs-atalanta,12,37
25-26-champions-league-chelsea-vs-atalanta,13,24
25-26-champions-league-chelsea-vs-atalanta,14,25
25-26-champions-league-chelsea-vs-atalanta,15,18
25-26-champions-league-chelsea-vs-atalanta,16,34
25-26-champions-league-chelsea-vs-atalanta,17,16
25-26-champions-league-chelsea-vs-atalanta,18,-10
25-26-champions-league-chelsea-vs-atalanta,19,-8
25-26-champions-league-chelsea-vs-atalanta,20,-9
25-26-champions-league-chelsea-vs-atalanta,21,10
25-26-champions-league-chelsea-vs-atalanta,22,4
25-26-champions-league-chelsea-vs-atalanta,23,23
25-26-champions-league-chelsea-vs-atalanta,24,29
25-26-champions-league-chelsea-vs-atalanta,25,45
25-26-champions-league-chelsea-vs-atalanta,26,24
25-26-champions-league-chelsea-vs-atalanta,27,32
25-26-champions-league-chelsea-vs-atalanta,28,15
25-26-champions-league-chelsea-vs-atalanta,29,7
25-26-champions-league-chelsea-vs-atalanta,30,-3
25-26-champions-league-chelsea-vs-atalanta,31,2
25-26-champions-league-chelsea-vs-atalanta,32,-24
25-26-champions-league-chelsea-vs-atalanta,33,-23
25-26-champions-league-chelsea-vs-atalanta,34,-58
25-26-champions-league-chelsea-vs-atalanta,35,-24
25-26-champions-league-chelsea-vs-atalanta,36,-10
25-26-champions-league-chelsea-vs-atalanta,37,-3
25-26-champions-league-chelsea-vs-atalanta,38,4
25-26-champions-league-chelsea-vs-atalanta,39,13
25-26-champions-league-chelsea-vs-atalanta,40,47
25-26-champions-league-chelsea-vs-atalanta,41,13
25-26-champions-league-chelsea-vs-atalanta,42,23
25-26-champions-league-chelsea-vs-atalanta,43,16
25-26-champions-league-chelsea-vs-atalanta,44,6
25-26-champions-league-chelsea-vs-atalanta,45,9
25-26-champions-league-chelsea-vs-atalanta,45.5,33
25-26-champions-league-chelsea-vs-atalanta,46,3
25-26-champions-league-chelsea-vs-atalanta,47,3
25-26-champions-league-chelsea-vs-atalanta,48,3
25-26-champions-league-chelsea-vs-atalanta,49,5
25-26-champions-league-chelsea-vs-atalanta,50,6
25-26-champions-league-chelsea-vs-atalanta,51,19
25-26-champions-league-chelsea-vs-atalanta,52,22
25-26-champions-league-chelsea-vs-atalanta,53,15
25-26-champions-league-chelsea-vs-atalanta,54,32
25-26-champions-league-chelsea-vs-atalanta,55,-47
25-26-champions-league-chelsea-vs-atalanta,56,-22
25-26-champions-league-chelsea-vs-atalanta,57,-30
25-26-champions-league-chelsea-vs-atalanta,58,-21
25-26-champions-league-chelsea-vs-atalanta,59,-54
25-26-champions-league-chelsea-vs-atalanta,60,-60
25-26-champions-league-chelsea-vs-atalanta,61,-35
25-26-champions-league-chelsea-vs-atalanta,62,-26
25-26-champions-league-chelsea-vs-atalanta,63,-73
25-26-champions-league-chelsea-vs-atalanta,64,-30
25-26-champions-league-chelsea-vs-atalanta,65,-17
25-26-champions-league-chelsea-vs-atalanta,66,-9
25-26-champions-league-chelsea-vs-atalanta,67,-5
25-26-champions-league-chelsea-vs-atalanta,68,2
25-26-champions-league-chelsea-vs-atalanta,69,5
25-26-champions-league-chelsea-vs-atalanta,70,5
25-26-champions-league-chelsea-vs-atalanta,71,8
25-26-champions-league-chelsea-vs-atalanta,72,5
25-26-champions-league-chelsea-vs-atalanta,73,3
25-26-champions-league-chelsea-vs-atalanta,74,12
25-26-champions-league-chelsea-vs-atalanta,75,43
25-26-champions-league-chelsea-vs-atalanta,76,25
25-26-champions-league-chelsea-vs-atalanta,77,15
25-26-champions-league-chelsea-vs-atalanta,78,24
25-26-champions-league-chelsea-vs-atalanta,79,21
