player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles_attempted,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
597,25-26-friendly-newcastle-united-vs-tottenham-hotspur,29,0,0,0,0.0,0.0,0,0,0,1,7,1,33.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,3,2,1,50.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0.0,0.0,0.0,,0.0,62.0,90.0,0.0,0.0,0.0
477,25-26-friendly-newcastle-united-vs-tottenham-hotspur,29,0,0,0,0.0,0.0,0,0,0,0,16,7,64.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,1,2,3,2,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,1.0,61.0,90.0,0.0,0.0,0.0
578,25-26-friendly-newcastle-united-vs-tottenham-hotspur,11,0,0,0,0.0,0.0,0,0,0,0,2,2,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,80.0,90.0,0.0,0.0,0.0
490,25-26-friendly-newcastle-united-vs-tottenham-hotspur,87,0,0,1,0.0,0.0,0,0,0,2,36,20,91.0,0.0,0,0,0.0,0,0.0,1,0,2,0,1,1,1,6,7,5,45.0,1,50.0,3,0,0,0,0.0,0.0,0,0,0,3.0,0,0,0,0,0.0,50.0,0.0,,2.0,0.0,87.0,1.0,0.0,0.0
569,25-26-friendly-newcastle-united-vs-tottenham-hotspur,45,0,0,0,0.0,0.0,0,0,0,0,19,17,94.0,0.0,2,0,0.0,2,67.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,1.0,0.0,0.0
258,25-26-friendly-augsburg-vs-crystal-palace,69,0,0,0,0.0,0.3,0,0,0,3,33,13,87.0,2.0,0,1,20.0,1,50.0,1,0,1,0,2,1,0,2,3,1,25.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,100.0,0.0,,1.0,0.0,70.0,0.0,0.0,0.0
391,25-26-friendly-athletic-club-vs-liverpool,56,0,0,3,0.0,0.0,1,0,0,4,21,9,69.0,0.0,0,1,50.0,0,0.0,0,0,1,0,1,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,56.0,0.0,0.0,0.0
347,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,0,26,15,88.0,0.0,1,1,100.0,1,50.0,0,1,1,0,2,1,2,0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2.0,0,0,0,0,0.0,0.0,0.0,,0.0,46.0,90.0,0.0,0.0,0.0
431,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,0,20,14,74.0,0.0,1,0,0.0,1,17.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,14,1,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,0.0,0.0,0.0
467,25-26-friendly-leeds-united-vs-manchester-united,45,0,0,5,0.0,0.0,1,0,0,6,11,1,50.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,4,0,0.0,1,25.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,0.0,0.0,0.0
